current_symbol	submitted_item	validated_id	FBID_KEY	ANNOTATION_SYMBOL	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	SYMBOL
CG4042	CG4042	FBgn0037018	FBgn0037018	CG4042	3L	20771507	20770143	-1	-	CG4042
CG40439	CG40439	FBgn0058439	FBgn0058439	CG40439	2L	22798276	22797519	-1	-	CG40439
CG40470	CG40470	FBgn0058470	FBgn0058470	CG40470	3L	23986410	23839860	-1	-	CG40470
CG40472	CG40472	FBgn0085736	FBgn0085736	CG40472	3L	24927710	24927130	1	-	CG40472
CG40485	CG40485	FBgn0069973	FBgn0069973	CG40485	X	22962360	22960609	-1	-	CG40485
CG40486	CG40486	FBgn0263830	FBgn0263830	CG40486	X	22960091	22958856	-1	-	CG40486
CG4049	CG4049	FBgn0034976	FBgn0034976	CG4049	2R	24114292	24107087	-1	-	CG4049
CG40498	CG40498	FBgn0069969	FBgn0069969	CG40498	2R	951252	924636	-1	-	CG40498
CG4066	CG4066	FBgn0038011	FBgn0038011	CG4066	3R	12313119	12311353	1	-	CG4066
CG4069	CG4069	FBgn0036301	FBgn0036301	CG4069	3L	12537315	12535426	-1	-	CG4069
CG4074	CG4074	FBgn0037017	FBgn0037017	CG4074	3L	20769500	20768207	-1	-	CG4074
CG4078	CG4078	FBgn0029798	FBgn0029798	CG4078	X	5752077	5747747	1	-	CG4078
CG4080	CG4080	FBgn0035983	FBgn0035983	CG4080	3L	9399227	9386827	-1	-	CG4080
CG40813	CG40813	FBgn0085521	FBgn0085521	CG40813	X	22143816	22143102	1	-	CG40813
CG4098	CG4098	FBgn0036648	FBgn0036648	CG4098	3L	16609347	16608138	-1	-	CG4098
CG4101	CG4101	FBgn0025558	FBgn0025558	CG4101	3L	16612950	16612486	1	-	CG4101
CG41099	CG41099	FBgn0039955	FBgn0039955	CG41099	3R	3868401	3846729	1	-	CG41099
CG41128	CG41128	FBgn0069923	FBgn0069923	CG41128	3R	3752353	3750363	1	-	CG41128
CG4115	CG4115	FBgn0038017	FBgn0038017	CG4115	3R	12363255	12360008	1	-	CG4115
CG4119	CG4119	FBgn0028474	FBgn0028474	CG4119	X	5670652	5666052	1	-	CG4119
CG41242	CG41242	FBgn0085569	FBgn0085569	CG41242	2R	3364402	3363857	-1	-	CG41242
CG4133	CG4133	FBgn0031257	FBgn0031257	CG4133	2L	458745	455531	1	-	CG4133
CG41378	CG41378	FBgn0085638	FBgn0085638	CG41378	2R	2846708	2770380	-1	-	CG41378
CG41434	CG41434	FBgn0084001	FBgn0084001	CG41434	2L	22039772	22037860	1	-	CG41434
CG41520	CG41520	FBgn0087011	FBgn0087011	CG41520	2R	1778937	1649061	1	-	CG41520
CG41562	CG41562	FBgn0085693	FBgn0085693	CG41562	X	22252340	22251626	1	-	CG41562
CG4168	CG4168	FBgn0028888	FBgn0028888	CG4168	2L	15200459	15161882	-1	-	CG4168
CG4186	CG4186	FBgn0040634	FBgn0040634	CG4186	3L	20770138	20769586	1	-	CG4186
CG4194	CG4194	FBgn0025627	FBgn0025627	CG4194	X	2069688	2068592	1	-	CG4194
CG4199	CG4199	FBgn0025628	FBgn0025628	CG4199	X	2073483	2066435	-1	-	CG4199
CG4210	CG4210	FBgn0038302	FBgn0038302	CG4210	3R	15214845	15213974	1	-	CG4210
CG42232	CG42232	FBgn0250754	FBgn0250754	CG42232	3R	16469663	16458280	-1	-	CG42232
CG42233	CG42233	FBgn0250755	FBgn0250755	CG42233	3R	31805278	31799634	-1	-	CG42233
CG42235	CG42235	FBgn0250757	FBgn0250757	CG42235	3R	25921046	25907022	1	-	CG42235
CG42237	CG42237	FBgn0250862	FBgn0250862	CG42237	X	13123066	13115131	1	-	CG42237
CG42238	CG42238	FBgn0250867	FBgn0250867	CG42238	2L	21052164	20965520	-1	-	CG42238
CG42239	CG42239	FBgn0250868	FBgn0250868	CG42239	2R	17573330	17572829	1	-	CG42239
CG42240	CG42240	FBgn0250869	FBgn0250869	CG42240	X	6333028	6330842	1	-	CG42240
CG42246	CG42246	FBgn0259098	FBgn0259098	CG42246	X	7411906	7411267	-1	-	CG42246
CG42249	CG42249	FBgn0259101	FBgn0259101	CG42249	X	11108148	11096273	1	-	CG42249
CG42255	CG42255	FBgn0259140	FBgn0259140	CG42255	3L	11814755	11801951	-1	-	CG42255
CG42258	CG42258	FBgn0259143	FBgn0259143	CG42258	X	12478431	12463528	1	-	CG42258
CG42259	CG42259	FBgn0266569	FBgn0266569	CG42259	X	1047009	1046224	1	-	CG42259
CG42260	CG42260	FBgn0259145	FBgn0259145	CG42260	2R	22798289	22740999	-1	-	CG42260
CG42266	CG42266	FBgn0259151	FBgn0259151	CG42266	2L	16340368	16337989	-1	-	CG42266
CG42268	CG42268	FBgn0259163	FBgn0259163	CG42268	3L	9760395	9734012	-1	-	CG42268
CG42269	CG42269	FBgn0259164	FBgn0259164	CG42269	3L	6071545	6066296	1	-	CG42269
CG42271	CG42271	FBgn0259166	FBgn0259166	CG42271	X	14234066	14228060	-1	-	CG42271
CG42272	CG42272	FBgn0259167	FBgn0259167	CG42272	3L	5805749	5803033	1	-	CG42272
CG42284	CG42284	FBgn0259179	FBgn0259179	CG42284	2R	22828903	22821430	1	-	CG42284
CG4229	CG4229	FBgn0036639	FBgn0036639	CG4229	3L	16557958	16556823	1	-	CG4229
CG42299	CG42299	FBgn0259195	FBgn0259195	CG42299	X	15575683	15574947	-1	-	CG42299
CG4230	CG4230	FBgn0031683	FBgn0031683	CG4230	2L	5099294	5096227	1	-	CG4230
CG42300	CG42300	FBgn0259196	FBgn0259196	CG42300	X	15556045	15555253	-1	-	CG42300
CG42302	CG42302	FBgn0259198	FBgn0259198	CG42302	X	18725672	18724914	-1	-	CG42302
CG42307	CG42307	FBgn0259203	FBgn0259203	CG42307	3L	7333471	7329132	1	-	CG42307
CG42319	CG42319	FBgn0259219	FBgn0259219	CG42319	2R	13266336	13260101	1	-	CG42319
CG42322	CG42322	FBgn0259222	FBgn0259222	CG42322	3R	20756639	20740108	1	-	CG42322
CG42323	CG42323	FBgn0259223	FBgn0259223	CG42323	X	18427001	18422413	1	-	CG42323
CG42324	CG42324	FBgn0259224	FBgn0259224	CG42324	3L	3510895	3472447	1	-	CG42324
CG42326	CG42326	FBgn0259226	FBgn0259226	CG42326	2R	8584779	8573368	-1	-	CG42326
CG42327	CG42327	FBgn0259227	FBgn0259227	CG42327	3R	11673974	11656149	1	-	CG42327
CG42329	CG42329	FBgn0259229	FBgn0259229	CG42329	2L	1229802	1219293	1	-	CG42329
CG42331	CG42331	FBgn0259233	FBgn0259233	CG42331	3R	24784562	24772181	1	-	CG42331
CG42336	CG42336	FBgn0259238	FBgn0259238	CG42336	2R	11297520	11294536	-1	-	CG42336
CG42337	CG42337	FBgn0259239	FBgn0259239	CG42337	3L	21193363	21183313	-1	-	CG42337
CG42339	CG42339	FBgn0259241	FBgn0259241	CG42339	X	11039901	10967722	-1	-	CG42339
CG42340	CG42340	FBgn0259242	FBgn0259242	CG42340	X	6524323	6423123	-1	-	CG42340
CG42342	CG42342	FBgn0259244	FBgn0259244	CG42342	3R	16571363	16502770	1	-	CG42342
CG42346	CG42346	FBgn0259677	FBgn0259677	CG42346	X	22885541	22832399	1	-	CG42346
CG42354	CG42354	FBgn0259700	FBgn0259700	CG42354	X	16104946	16093059	-1	-	CG42354
CG42359	CG42359	FBgn0259705	FBgn0259705	CG42359	3R	19162300	19161259	-1	-	CG42359
CG42360	CG42360	FBgn0259742	FBgn0259742	CG42360	2R	24610847	24607267	1	-	CG42360
CG42361	CG42361	FBgn0259707	FBgn0259707	CG42361	2R	24608788	24607673	1	-	CG42361
CG42364	CG42364	FBgn0259710	FBgn0259710	CG42364	2R	21666579	21665940	1	-	CG42364
CG42365	CG42365	FBgn0259711	FBgn0259711	CG42365	2R	21667594	21666687	1	-	CG42365
CG42366	CG42366	FBgn0259712	FBgn0259712	CG42366	2L	9930378	9925161	1	-	CG42366
CG42367	CG42367	FBgn0259713	FBgn0259713	CG42367	2L	9931131	9930580	1	-	CG42367
CG42369	CG42369	FBgn0259715	FBgn0259715	CG42369	2L	6397249	6395853	-1	-	CG42369
CG42376	CG42376	FBgn0259722	FBgn0259722	CG42376	X	255524	254876	1	-	CG42376
CG4238	CG4238	FBgn0031384	FBgn0031384	CG4238	2L	2030788	2009859	1	-	CG4238
CG42382	CG42382	FBgn0259728	FBgn0259728	CG42382	2R	9167508	9166566	-1	-	CG42382
CG42383	CG42383	FBgn0259729	FBgn0259729	CG42383	2R	24425102	24423926	-1	-	CG42383
CG4239	CG4239	FBgn0030745	FBgn0030745	CG4239	X	16388702	16385278	1	-	CG4239
CG42390	CG42390	FBgn0259736	FBgn0259736	CG42390	3R	22133367	22120061	1	-	CG42390
CG42391	CG42391	FBgn0259737	FBgn0259737	CG42391	2R	15202987	15202193	1	-	CG42391
CG42392	CG42392	FBgn0259738	FBgn0259738	CG42392	2R	16766000	16765361	-1	-	CG42392
CG42393	CG42393	FBgn0259739	FBgn0259739	CG42393	3L	18044214	18042733	1	-	CG42393
CG42394	CG42394	FBgn0259740	FBgn0259740	CG42394	3R	10851788	10849825	1	-	CG42394
CG42395	CG42395	FBgn0259741	FBgn0259741	CG42395	X	9576247	9575126	-1	-	CG42395
CG42399	CG42399	FBgn0259818	FBgn0259818	CG42399	2L	153300	144231	-1	-	CG42399
CG42402	CG42402	FBgn0259821	FBgn0259821	CG42402	3R	4104326	4077939	1	-	CG42402
CG42404	CG42404	FBgn0259823	FBgn0259823	CG42404	3R	15257765	15250094	1	-	CG42404
CG42445	CG42445	FBgn0259916	FBgn0259916	CG42445	3L	8158900	8154681	-1	-	CG42445
CG42449	CG42449	FBgn0259926	FBgn0259926	CG42449	X	5684456	5683240	1	-	CG42449
CG42450	CG42450	FBgn0259927	FBgn0259927	CG42450	X	18830406	18813297	1	-	CG42450
CG42458	CG42458	FBgn0259935	FBgn0259935	CG42458	3L	7454717	7423827	1	-	CG42458
CG42460	CG42460	FBgn0259950	FBgn0259950	CG42460	2L	3388496	3387882	-1	-	CG42460
CG42464	CG42464	FBgn0259954	FBgn0259954	CG42464	2L	3699826	3699464	1	-	CG42464
CG42470	CG42470	FBgn0259960	FBgn0259960	CG42470	2L	11753555	11752973	-1	-	CG42470
CG42471	CG42471	FBgn0259961	FBgn0259961	CG42471	2L	11754022	11753640	-1	-	CG42471
CG42486	CG42486	FBgn0259989	FBgn0259989	CG42486	2L	11844063	11843137	1	-	CG42486
CG42489	CG42489	FBgn0259992	FBgn0259992	CG42489	3R	8654766	8653802	-1	-	CG42489
CG42493	CG42493	FBgn0260007	FBgn0260007	CG42493	2R	11779235	11778526	1	-	CG42493
CG42494	CG42494	FBgn0260026	FBgn0260026	CG42494	3L	3186549	3184404	1	-	CG42494
CG42495	CG42495	FBgn0260027	FBgn0260027	CG42495	3L	18668135	18667361	1	-	CG42495
CG4250	CG4250	FBgn0034761	FBgn0034761	CG4250	2R	22664474	22663692	1	-	CG4250
CG42514	CG42514	FBgn0260388	FBgn0260388	CG42514	3L	16496236	16491838	-1	-	CG42514
CG42518	CG42518	FBgn0260392	FBgn0260392	CG42518	2R	18168380	18167227	1	-	CG42518
CG42521	CG42521	FBgn0260396	FBgn0260396	CG42521	3L	10623576	10623066	-1	-	CG42521
CG42524	CG42524	FBgn0260429	FBgn0260429	CG42524	2R	15657214	15613854	1	-	CG42524
CG42526	CG42526	FBgn0260431	FBgn0260431	CG42526	3L	9435399	9433686	-1	-	CG42526
CG42534	CG42534	FBgn0260487	FBgn0260487	CG42534	3R	27372574	27340622	1	-	CG42534
CG42540	CG42540	FBgn0260657	FBgn0260657	CG42540	3L	4592295	4556087	1	-	CG42540
CG42541	CG42541	FBgn0260658	FBgn0260658	CG42541	X	3930578	3891497	-1	-	CG42541
CG42542	CG42542	FBgn0260659	FBgn0260659	CG42542	3R	15203074	15196598	1	-	CG42542
CG42544	CG42544	FBgn0260713	FBgn0260713	CG42544	3R	7304954	7304592	1	-	CG42544
CG42553	CG42553	FBgn0260755	FBgn0260755	CG42553	3L	835515	834093	1	-	CG42553
CG42554	CG42554	FBgn0260756	FBgn0260756	CG42554	3L	836770	835683	1	-	CG42554
CG42556	CG42556	FBgn0260758	FBgn0260758	CG42556	2L	16891239	16889908	1	-	CG42556
CG42561	CG42561	FBgn0260763	FBgn0260763	CG42561	2R	17685548	17684855	1	-	CG42561
CG42562	CG42562	FBgn0260764	FBgn0260764	CG42562	2R	17686410	17685814	1	-	CG42562
CG42564	CG42564	FBgn0260766	FBgn0260766	CG42564	3R	6377348	6374475	1	-	CG42564
CG42566	CG42566	FBgn0260768	FBgn0260768	CG42566	2R	22663241	22661934	1	-	CG42566
CG42568	CG42568	FBgn0260770	FBgn0260770	CG42568	2R	24159312	24157668	-1	-	CG42568
CG42571	CG42571	FBgn0260777	FBgn0260777	CG42571	3L	15717749	15716453	1	-	CG42571
CG42577	CG42577	FBgn0260867	FBgn0260867	CG42577	X	20259656	20259239	1	-	CG42577
CG42578	CG42578	FBgn0260868	FBgn0260868	CG42578	X	20446703	20446371	1	-	CG42578
CG42579	CG42579	FBgn0260869	FBgn0260869	CG42579	X	20528043	20527631	1	-	CG42579
CG42580	CG42580	FBgn0260870	FBgn0260870	CG42580	X	20574693	20574282	1	-	CG42580
CG42588	CG42588	FBgn0260965	FBgn0260965	CG42588	3L	12824650	12814254	1	-	CG42588
CG4259	CG4259	FBgn0031389	FBgn0031389	CG4259	2L	2129237	2127309	-1	-	CG4259
CG42594	CG42594	FBgn0260971	FBgn0260971	CG42594	X	4906575	4840833	1	-	CG42594
CG42613	CG42613	FBgn0261262	FBgn0261262	CG42613	3R	18978088	18929196	1	-	CG42613
CG42633	CG42633	FBgn0261356	FBgn0261356	CG42633	3R	10782267	10780965	-1	-	CG42633
CG42656	CG42656	FBgn0261508	FBgn0261508	CG42656	3R	7493271	7492961	-1	-	CG42656
CG4266	CG4266	FBgn0034598	FBgn0034598	CG4266	2R	21168659	21161713	-1	-	CG4266
CG42663	CG42663	FBgn0261545	FBgn0261545	CG42663	2R	12751545	12705172	1	-	CG42663
CG42668	CG42668	FBgn0261550	FBgn0261550	CG42668	3R	20324196	20309344	1	-	CG42668
CG4267	CG4267	FBgn0264979	FBgn0264979	CG4267	2L	2245274	2242378	1	-	CG4267
CG42671	CG42671	FBgn0261553	FBgn0261553	CG42671	3L	11230745	11214505	1	-	CG42671
CG42672	CG42672	FBgn0261554	FBgn0261554	CG42672	2R	21310411	21295652	1	-	CG42672
CG42673	CG42673	FBgn0261555	FBgn0261555	CG42673	3L	9596713	9547220	1	-	CG42673
CG42674	CG42674	FBgn0261556	FBgn0261556	CG42674	3L	20198317	20149614	-1	-	CG42674
CG42675	CG42675	FBgn0261561	FBgn0261561	CG42675	3R	5818820	5813609	1	-	CG42675
CG42676	CG42676	FBgn0261562	FBgn0261562	CG42676	3L	1806920	1803107	1	-	CG42676
CG4269	CG4269	FBgn0034741	FBgn0034741	CG4269	2R	22600695	22597245	1	-	CG4269
CG42692	CG42692	FBgn0261582	FBgn0261582	CG42692	2L	14008820	14008101	1	-	CG42692
CG42694	CG42694	FBgn0261584	FBgn0261584	CG42694	2R	22945147	22941877	1	-	CG42694
CG42697	CG42697	FBgn0261587	FBgn0261587	CG42697	2R	18612730	18611645	-1	-	CG42697
CG42699	CG42699	FBgn0261610	FBgn0261610	CG42699	X	5789576	5764553	1	-	CG42699
CG42700	CG42700	FBgn0261611	FBgn0261611	CG42700	2R	12300795	12279771	1	-	CG42700
CG42703	CG42703	FBgn0261614	FBgn0261614	CG42703	2R	23101777	23101232	-1	-	CG42703
CG42704	CG42704	FBgn0261615	FBgn0261615	CG42704	X	7413296	7412668	1	-	CG42704
CG42709	CG42709	FBgn0261674	FBgn0261674	CG42709	3L	12796084	12790192	1	-	CG42709
CG42710	CG42710	FBgn0261627	FBgn0261627	CG42710	2L	8782500	8781799	-1	-	CG42710
CG42711	CG42711	FBgn0261628	FBgn0261628	CG42711	2L	13931362	13930322	-1	-	CG42711
CG42716	CG42716	FBgn0261633	FBgn0261633	CG42716	3L	16034170	16033778	1	-	CG42716
CG42724	CG42724	FBgn0261641	FBgn0261641	CG42724	3R	6368288	6361672	-1	-	CG42724
CG42733	CG42733	FBgn0261686	FBgn0261686	CG42733	2R	10356800	10356171	-1	-	CG42733
CG42741	CG42741	FBgn0261705	FBgn0261705	CG42741	2R	23042943	23011078	-1	-	CG42741
CG42747	CG42747	FBgn0261801	FBgn0261801	CG42747	3L	6485964	6400590	1	-	CG42747
CG42748	CG42748	FBgn0261802	FBgn0261802	CG42748	2L	22166221	22131221	1	-	CG42748
CG42749	CG42749	FBgn0261803	FBgn0261803	CG42749	X	5306288	5296066	1	-	CG42749
CG42750	CG42750	FBgn0261804	FBgn0261804	CG42750	2L	18275770	18159811	-1	-	CG42750
CG42751	CG42751	FBgn0261805	FBgn0261805	CG42751	2L	11853925	11853430	1	-	CG42751
CG42762	CG42762	FBgn0261830	FBgn0261830	CG42762	2L	8144047	8143401	-1	-	CG42762
CG42763	CG42763	FBgn0261831	FBgn0261831	CG42763	2L	8145107	8144391	-1	-	CG42763
CG42764	CG42764	FBgn0261832	FBgn0261832	CG42764	3L	20466041	20464714	-1	-	CG42764
CG42766	CG42766	FBgn0261834	FBgn0261834	CG42766	X	15977660	15976868	1	-	CG42766
CG4278	CG4278	FBgn0014092	FBgn0014092	CG4278	2L	16328131	16327069	1	-	CG4278
CG42784	CG42784	FBgn0263354	FBgn0263354	CG42784	2L	13500427	13415431	1	-	CG42784
CG42788	CG42788	FBgn0261859	FBgn0261859	CG42788	3R	15131926	15095957	-1	-	CG42788
CG42789	CG42789	FBgn0261860	FBgn0261860	CG42789	3R	26784208	26783609	-1	-	CG42789
CG42792	CG42792	FBgn0261925	FBgn0261925	CG42792	2L	15865461	15864929	-1	-	CG42792
CG42795	CG42795	FBgn0261928	FBgn0261928	CG42795	3R	10251277	10225690	1	-	CG42795
CG42797	CG42797	FBgn0261931	FBgn0261931	CG42797	X	9623243	9608946	1	-	CG42797
CG42806	CG42806	FBgn0261975	FBgn0261975	CG42806	2R	13965455	13964653	1	-	CG42806
CG42807	CG42807	FBgn0261989	FBgn0261989	CG42807	2R	13572759	13570595	-1	-	CG42807
CG42808	CG42808	FBgn0261990	FBgn0261990	CG42808	2R	13574257	13573618	-1	-	CG42808
CG42809	CG42809	FBgn0261991	FBgn0261991	CG42809	2L	13458073	13457497	1	-	CG42809
CG4281	CG4281	FBgn0025626	FBgn0025626	CG4281	X	2065142	2062313	-1	-	CG4281
CG42810	CG42810	FBgn0261992	FBgn0261992	CG42810	2L	13460183	13459681	1	-	CG42810
CG42813	CG42813	FBgn0261995	FBgn0261995	CG42813	3R	27228561	27227070	-1	-	CG42813
CG42816	CG42816	FBgn0261998	FBgn0261998	CG42816	3L	17797594	17792088	-1	-	CG42816
CG42818	CG42818	FBgn0262000	FBgn0262000	CG42818	2L	16245559	16241939	1	-	CG42818
CG4282	CG4282	FBgn0034114	FBgn0034114	CG4282	2R	16324801	16322186	1	-	CG4282
CG42821	CG42821	FBgn0262003	FBgn0262003	CG42821	3R	17413639	17413077	1	-	CG42821
CG42822	CG42822	FBgn0262004	FBgn0262004	CG42822	3R	17414607	17413901	1	-	CG42822
CG42823	CG42823	FBgn0262005	FBgn0262005	CG42823	3R	17405109	17404487	-1	-	CG42823
CG42827	CG42827	FBgn0262009	FBgn0262009	CG42827	3R	23373600	23372924	1	-	CG42827
CG42828	CG42828	FBgn0262010	FBgn0262010	CG42828	3R	23374245	23373703	1	-	CG42828
CG42830	CG42830	FBgn0262017	FBgn0262017	CG42830	2L	17812672	17811953	-1	-	CG42830
CG42831	CG42831	FBgn0262020	FBgn0262020	CG42831	3L	10816084	10814819	1	-	CG42831
CG42841	CG42841	FBgn0262030	FBgn0262030	CG42841	3L	2005651	2003109	-1	-	CG42841
CG42846	CG42846	FBgn0262035	FBgn0262035	CG42846	3L	231604	230971	-1	-	CG42846
CG42854	CG42854	FBgn0262101	FBgn0262101	CG42854	X	17247016	17245353	-1	-	CG42854
CG42855	CG42855	FBgn0262102	FBgn0262102	CG42855	2R	18688641	18687372	1	-	CG42855
CG42857	CG42857	FBgn0262104	FBgn0262104	CG42857	3R	9821191	9820514	-1	-	CG42857
CG4286	CG4286	FBgn0034601	FBgn0034601	CG4286	2R	21178636	21177754	-1	-	CG4286
CG42867	CG42867	FBgn0262141	FBgn0262141	CG42867	2R	22666145	22665646	1	-	CG42867
CG4287	CG4287	FBgn0038388	FBgn0038388	CG4287	3R	15963867	15962167	-1	-	CG4287
CG42878	CG42878	FBgn0262170	FBgn0262170	CG42878	2R	19587763	19587301	1	-	CG42878
CG4291	CG4291	FBgn0031287	FBgn0031287	CG4291	2L	852730	851251	-1	-	CG4291
CG4293	CG4293	FBgn0024983	FBgn0024983	CG4293	X	530291	527941	-1	-	CG4293
CG4294	CG4294	FBgn0034742	FBgn0034742	CG4294	2R	22605667	22600405	-1	-	CG4294
CG4297	CG4297	FBgn0031258	FBgn0031258	CG4297	2L	472200	458876	-1	-	CG4297
CG4301	CG4301	FBgn0030747	FBgn0030747	CG4301	X	16414651	16405509	1	-	CG4301
CG43050	CG43050	FBgn0262352	FBgn0262352	CG43050	2L	13120767	13119294	1	-	CG43050
CG43051	CR43051	FBgn0262353	FBgn0262353	CG43051	2L	12508504	12507939	1	-	CG43051
CG43054	CG43054	FBgn0262356	FBgn0262356	CG43054	2L	17628389	17627859	1	-	CG43054
CG43055	CG43055	FBgn0262357	FBgn0262357	CG43055	2L	4411824	4411155	1	-	CG43055
CG4306	CG4306	FBgn0036787	FBgn0036787	CG4306	3L	18463163	18461957	-1	-	CG4306
CG43060	CG43060	FBgn0262362	FBgn0262362	CG43060	3R	8055970	8041224	1	-	CG43060
CG43064	CG43064	FBgn0262366	FBgn0262366	CG43064	3L	11836721	11834721	-1	-	CG43064
CG43066	CG43066	FBgn0262476	FBgn0262476	CG43066	2R	18526439	18514574	1	-	CG43066
CG43068	CG43068	FBgn0262478	FBgn0262478	CG43068	2R	15185952	15185158	1	-	CG43068
CG43071	CG43071	FBgn0262481	FBgn0262481	CG43071	2R	18865218	18864621	-1	-	CG43071
CG43072	CG43072	FBgn0262482	FBgn0262482	CG43072	3L	21066238	21065852	1	-	CG43072
CG43074	CG43074	FBgn0262484	FBgn0262484	CG43074	3L	3484653	3483832	-1	-	CG43074
CG43076	CG43076	FBgn0262486	FBgn0262486	CG43076	X	15223582	15222657	-1	-	CG43076
CG43078	CG43078	FBgn0262508	FBgn0262508	CG43078	3L	8599617	8576808	1	-	CG43078
CG43085	CG43085	FBgn0262531	FBgn0262531	CG43085	3L	17646737	17645486	-1	-	CG43085
CG43091	CG43091	FBgn0262537	FBgn0262537	CG43091	3R	22768733	22768121	-1	-	CG43091
CG43092	CG43092	FBgn0262538	FBgn0262538	CG43092	3R	22769667	22768883	-1	-	CG43092
CG43093	CG43093	FBgn0262539	FBgn0262539	CG43093	3R	22770307	22769775	-1	-	CG43093
CG43094	CG43094	FBgn0262540	FBgn0262540	CG43094	3R	22770987	22770613	-1	-	CG43094
CG43095	CG43095	FBgn0262541	FBgn0262541	CG43095	3R	22771770	22771156	-1	-	CG43095
CG43102	CG43102	FBgn0262562	FBgn0262562	CG43102	3R	17794490	17768272	-1	-	CG43102
CG43103	CG43103	FBgn0262563	FBgn0262563	CG43103	2R	17139931	17139450	-1	-	CG43103
CG43106	CG43106	FBgn0262566	FBgn0262566	CG43106	2R	25139627	25138627	-1	-	CG43106
CG43107	CG43107	FBgn0262567	FBgn0262567	CG43107	2R	17140865	17140495	-1	-	CG43107
CG43108	CG43108	FBgn0262568	FBgn0262568	CG43108	2R	17257886	17257156	-1	-	CG43108
CG43109	CG43109	FBgn0262569	FBgn0262569	CG43109	2R	18868167	18867848	-1	-	CG43109
CG43110	CG43110	FBgn0262570	FBgn0262570	CG43110	2R	17486220	17477565	-1	-	CG43110
CG43114	CG43114	FBgn0262574	FBgn0262574	CG43114	2R	11311165	11310831	1	-	CG43114
CG43117	CG43117	FBgn0262577	FBgn0262577	CG43117	3R	26455112	26454794	1	-	CG43117
CG43120	CG43120	FBgn0262580	FBgn0262580	CG43120	3L	14383299	14381913	1	-	CG43120
CG43121	CG43121	FBgn0262581	FBgn0262581	CG43121	3L	14672437	14671935	-1	-	CG43121
CG43124	CG43124	FBgn0262587	FBgn0262587	CG43124	3R	28264773	28263871	-1	-	CG43124
CG43125	CG43125	FBgn0262588	FBgn0262588	CG43125	3R	28263622	28262735	-1	-	CG43125
CG4313	CG4313	FBgn0025632	FBgn0025632	CG4313	X	2055414	2041868	1	-	CG4313
CG43133	CG43133	FBgn0262607	FBgn0262607	CG43133	X	18130178	18129585	-1	-	CG43133
CG43134	CG43134	FBgn0262608	FBgn0262608	CG43134	X	4247785	4247313	1	-	CG43134
CG43139	CG43139	FBgn0262613	FBgn0262613	CG43139	3R	27502025	27501366	-1	-	CG43139
CG43149	CG43149	FBgn0262679	FBgn0262679	CG43149	3L	54751	53873	-1	-	CG43149
CG43155	CG43155	FBgn0262685	FBgn0262685	CG43155	X	11476504	11459786	1	-	CG43155
CG43156	CG43156	FBgn0262686	FBgn0262686	CG43156	X	11906868	11906452	-1	-	CG43156
CG43163	CG43163	FBgn0262719	FBgn0262719	CG43163	3L	8507146	8472807	-1	-	CG43163
CG43175	CG43175	FBgn0262794	FBgn0262794	CG43175	3R	17645262	17630717	1	-	CG43175
CG43179	CG43179	FBgn0262808	FBgn0262808	CG43179	3R	14256930	14256108	1	-	CG43179
CG4318	CG4318	FBgn0030455	FBgn0030455	CG4318	X	13154924	13153461	-1	-	CG4318
CG43185	CG43185	FBgn0262814	FBgn0262814	CG43185	2L	5885491	5884888	1	-	CG43185
CG43187	CG43187	FBgn0262816	FBgn0262816	CG43187	2R	16385765	16380516	1	-	CG43187
CG43189	CG43189	FBgn0262818	FBgn0262818	-	-	-	-	-	-	CG43189
CG43191	CG43191	FBgn0262820	FBgn0262820	CG43191	2R	12037165	12035921	-1	-	CG43191
CG43192	CG43192	FBgn0262821	FBgn0262821	CG43192	2R	13478079	13477342	1	-	CG43192
CG43218	CG43218	FBgn0262854	FBgn0262854	CG43218	3L	21258758	21258020	1	-	CG43218
CG43219	CG43219	FBgn0262855	FBgn0262855	CG43219	3L	21223118	21220400	1	-	CG43219
CG43229	CG43229	FBgn0262874	FBgn0262874	CG43229	X	18139000	18138542	1	-	CG43229
CG43232	CG43232	FBgn0262877	FBgn0262877	CG43232	2L	6932954	6932121	1	-	CG43232
CG4324	CG4324	FBgn0034956	FBgn0034956	CG4324	2R	24017198	24014917	-1	-	CG4324
CG43244	CG43244	FBgn0262889	FBgn0262889	CG43244	2R	12244701	12243999	-1	-	CG43244
CG43245	CG43245	FBgn0262890	FBgn0262890	CG43245	3L	10773399	10771925	1	-	CG43245
CG4325	CG4325	FBgn0026878	FBgn0026878	CG4325	X	2043818	2042730	-1	-	CG4325
CG43272	CG43272	FBgn0262961	FBgn0262961	CG43272	2R	17255737	17255241	1	-	CG43272
CG43273	CG43273	FBgn0262962	FBgn0262962	CG43273	3R	24830973	24830301	1	-	CG43273
CG43277	CG43277	FBgn0262966	FBgn0262966	CG43277	2R	19638041	19637559	1	-	CG43277
CG4328	CG4328	FBgn0036274	FBgn0036274	CG4328	3L	12296123	12290956	-1	-	CG4328
CG4329	CG4329	FBgn0034745	FBgn0034745	CG4329	2R	22613376	22609334	-1	-	CG4329
CG43291	CG43291	FBgn0262983	FBgn0262983	CG43291	3R	14244677	14234984	-1	-	CG43291
